open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0.0,0.0,0.0,340.0,5000.0,,,340.0,,,1.0,0.0,GGP.L,XLON,2025-09-22T00:00:00+0000
307.666,315.0,305.0,313.3,2525225.0,,,313.3,,,1.0,0.0,GGP.L,XLON,2025-09-19T00:00:00+0000
0.0,0.0,0.0,306.0,6000.0,,,306.0,,,1.0,0.0,GGP.L,XLON,2025-09-18T00:00:00+0000
0.0,0.0,0.0,299.0,5050.0,,,299.0,,,1.0,0.0,GGP.L,XLON,2025-09-17T00:00:00+0000
0.0,0.0,0.0,305.0,4246.0,,,305.0,,,1.0,0.0,GGP.L,XLON,2025-09-16T00:00:00+0000
0.0,0.0,0.0,297.0,6745.0,,,297.0,,,1.0,0.0,GGP.L,XLON,2025-09-15T00:00:00+0000
305.0,305.0,290.0,295.0,688523.0,,,295.0,,,1.0,0.0,GGP.L,XLON,2025-09-12T00:00:00+0000
0.0,0.0,0.0,305.0,3320.0,,,305.0,,,1.0,0.0,GGP.L,XLON,2025-09-11T00:00:00+0000
0.0,0.0,0.0,295.0,9441.0,,,295.0,,,1.0,0.0,GGP.L,XLON,2025-09-10T00:00:00+0000
0.0,0.0,0.0,301.95,6000.0,,,301.95,,,1.0,0.0,GGP.L,XLON,2025-09-09T00:00:00+0000
0.0,0.0,0.0,307.0,6414.0,,,307.0,,,1.0,0.0,GGP.L,XLON,2025-09-08T00:00:00+0000
299.9999,315.0,295.0,309.0,1759241.0,,,309.0,,,1.0,0.0,GGP.L,XLON,2025-09-05T00:00:00+0000
0.0,0.0,0.0,298.0,4960.0,,,298.0,,,1.0,0.0,GGP.L,XLON,2025-09-04T00:00:00+0000
0.0,0.0,0.0,302.0,5000.0,,,302.0,,,1.0,0.0,GGP.L,XLON,2025-09-03T00:00:00+0000
0.0,0.0,0.0,301.0,4943.0,,,301.0,,,1.0,0.0,GGP.L,XLON,2025-09-02T00:00:00+0000
0.0,0.0,0.0,294.8,5000.0,,,294.8,,,1.0,0.0,GGP.L,XLON,2025-09-01T00:00:00+0000
261.0,270.0,255.0,266.0,978060.0,,,266.0,,,1.0,0.0,GGP.L,XLON,2025-08-29T00:00:00+0000
0.0,0.0,0.0,271.35,7411.0,,,271.35,,,1.0,0.0,GGP.L,XLON,2025-08-27T00:00:00+0000
0.0,0.0,0.0,262.0,6309.0,,,262.0,,,1.0,0.0,GGP.L,XLON,2025-08-26T00:00:00+0000
265.0,270.0,260.0,265.0,1222340.0,,,265.0,,,1.0,0.0,GGP.L,XLON,2025-08-22T00:00:00+0000
267.5,275.0,260.0,266.0,749922.0,,,266.0,,,1.0,0.0,GGP.L,XLON,2025-08-21T00:00:00+0000
0.0,0.0,0.0,265.0,50000.0,,,265.0,,,1.0,0.0,GGP.L,XLON,2025-08-20T00:00:00+0000
0.0,0.0,0.0,267.0,5015.0,,,267.0,,,1.0,0.0,GGP.L,XLON,2025-08-19T00:00:00+0000
260.0,265.0,250.0,255.0,766393.0,,,255.0,,,1.0,0.0,GGP.L,XLON,2025-08-15T00:00:00+0000
